场景类别,类别内排名,Skill名称,链接,推荐得分,评级,具体作用,Stars,Forks,语言
网络安全,1,mukul975/Anthropic-Cybersecurity-Skills,https://github.com/mukul975/Anthropic-Cybersecurity-Skills,94,⭐⭐⭐⭐⭐ 夯,安全审计与漏洞防护,13704,1603,Python
网络安全,2,prompt-security/clawsec,https://github.com/prompt-security/clawsec,88,⭐⭐⭐⭐⭐ 夯,安全审计与漏洞防护,1022,105,JavaScript
网络安全,3,google/cloud/google-cloud-waf-security,https://github.com/google/skills/tree/main/skills/cloud/google-cloud-waf-security,87,⭐⭐⭐⭐⭐ 夯,安全审计与漏洞防护,11081,885,Python
网络安全,4,NeoLabHQ/code-review,https://github.com/NeoLabHQ/context-engineering-kit/tree/master/plugins/code-review,87,⭐⭐⭐⭐⭐ 夯,安全审计与漏洞防护,1069,98,TypeScript
网络安全,5,obra/defense-in-depth,https://github.com/obra/superpowers/blob/main/skills/defense-in-depth/SKILL.md,86,⭐⭐⭐⭐⭐ 夯,安全审计与漏洞防护,216177,19252,Shell
法律合同,1,phuryn/privacy-policy,https://github.com/phuryn/pm-skills/tree/main/pm-toolkit/skills/privacy-policy,96,⭐⭐⭐⭐⭐ 夯,法律合规与政策文档处理,11878,1401,未知
法律合同,2,phuryn/pestle-analysis,https://github.com/phuryn/pm-skills/tree/main/pm-product-strategy/skills/pestle-analysis,83,⭐⭐⭐⭐ 顶级,法律合规与政策文档处理,11878,1401,未知
法律合同,3,NVIDIA/NemoClaw/nemoclaw-user-manage-policy,https://github.com/NVIDIA/skills/tree/main/skills/NemoClaw/nemoclaw-user-manage-policy,83,⭐⭐⭐⭐ 顶级,大模型系统策略管理与合规控制,921,109,Python
法律合同,4,deanpeters/pestel-analysis,https://github.com/deanpeters/Product-Manager-Skills/tree/main/skills/pestel-analysis,81,⭐⭐⭐⭐ 顶级,法律合规与政策文档处理,4715,603,Shell
法律合同,5,deanpeters/epic-breakdown-advisor,https://github.com/deanpeters/Product-Manager-Skills/tree/main/skills/epic-breakdown-advisor,80,⭐⭐⭐⭐ 顶级,法律合规与政策文档处理,4715,603,Shell
金融分析,1,deanpeters/finance-based-pricing-advisor,https://github.com/deanpeters/Product-Manager-Skills/tree/main/skills/finance-based-pricing-advisor,93,⭐⭐⭐⭐⭐ 夯,财务分析与商业决策,4715,603,Shell
金融分析,2,coreyhaines31/pricing-strategy,https://github.com/coreyhaines31/marketingskills/tree/main/skills/pricing-strategy,89,⭐⭐⭐⭐⭐ 夯,财务分析与商业决策,31677,5223,JavaScript
金融分析,3,phuryn/business-model,https://github.com/phuryn/pm-skills/tree/main/pm-product-strategy/skills/business-model,87,⭐⭐⭐⭐⭐ 夯,财务分析与商业决策,11878,1401,未知
金融分析,4,deanpeters/business-health-diagnostic,https://github.com/deanpeters/Product-Manager-Skills/tree/main/skills/business-health-diagnostic,86,⭐⭐⭐⭐⭐ 夯,商业健康度诊断与经营分析,4715,603,Shell
金融分析,5,deanpeters/finance-metrics-quickref,https://github.com/deanpeters/Product-Manager-Skills/tree/main/skills/finance-metrics-quickref,86,⭐⭐⭐⭐⭐ 夯,财务分析与商业决策,4715,603,Shell
教育学习,1,santifer/career-ops,https://github.com/santifer/career-ops,91,⭐⭐⭐⭐⭐ 夯,面试准备与访谈整理,48431,10052,JavaScript
教育学习,2,Paramchoudhary/ResumeSkills,https://github.com/Paramchoudhary/ResumeSkills,88,⭐⭐⭐⭐⭐ 夯,简历优化与求职准备,666,70,未知
教育学习,3,phuryn/interview-script,https://github.com/phuryn/pm-skills/tree/main/pm-product-discovery/skills/interview-script,84,⭐⭐⭐⭐ 顶级,面试准备与访谈整理,11878,1401,未知
医疗健康,1,zw008/VMware-AIops,https://github.com/zw008/VMware-AIops,83,⭐⭐⭐⭐ 顶级,健康信息分析与系统监测,49,8,Python
医疗健康,2,huifer/Claude-Ally-Health,https://github.com/huifer/Claude-Ally-Health,80,⭐⭐⭐⭐ 顶级,健康信息分析与系统监测,874,110,Shell
医疗健康,3,foryourhealth111-pixel/Vibe-Skills,https://github.com/foryourhealth111-pixel/Vibe-Skills,78,⭐⭐⭐⭐ 顶级,健康信息分析与系统监测,2220,166,Python
科研论文,1,deanpeters/proto-persona,https://github.com/deanpeters/Product-Manager-Skills/tree/main/skills/proto-persona,90,⭐⭐⭐⭐⭐ 夯,研究调研与资料分析,4715,603,Shell
科研论文,2,K-Dense-AI/claude-scientific-skills,https://github.com/K-Dense-AI/claude-scientific-skills,88,⭐⭐⭐⭐⭐ 夯,科研资料分析,27030,2794,Python
科研论文,3,Orchestra-Research/AI-research-SKILLs,https://github.com/Orchestra-Research/AI-research-SKILLs,87,⭐⭐⭐⭐⭐ 夯,科研论文分析,9242,705,TeX
科研论文,4,mvanhorn/last30days-skill,https://github.com/mvanhorn/last30days-skill,85,⭐⭐⭐⭐⭐ 夯,研究调研与资料分析,27036,2315,Python
科研论文,5,wanshuiyin/Auto-claude-code-research-in-sleep,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep,85,⭐⭐⭐⭐⭐ 夯,研究调研与资料分析,11254,1053,Python
电商零售,1,coreyhaines31/product-marketing-context,https://github.com/coreyhaines31/marketingskills/tree/main/skills/product-marketing-context,84,⭐⭐⭐⭐ 顶级,产品营销与转化优化,31677,5223,JavaScript
电商零售,2,coreyhaines31/sales-enablement,https://github.com/coreyhaines31/marketingskills/tree/main/skills/sales-enablement,84,⭐⭐⭐⭐ 顶级,销售转化与客户运营,31677,5223,JavaScript
电商零售,3,phuryn/competitive-battlecard,https://github.com/phuryn/pm-skills/tree/main/pm-go-to-market/skills/competitive-battlecard,84,⭐⭐⭐⭐ 顶级,销售转化与客户运营,11878,1401,未知
电商零售,4,phuryn/value-prop-statements,https://github.com/phuryn/pm-skills/tree/main/pm-marketing-growth/skills/value-prop-statements,84,⭐⭐⭐⭐ 顶级,销售转化与客户运营,11878,1401,未知
电商零售,5,phuryn/customer-journey-map,https://github.com/phuryn/pm-skills/tree/main/pm-market-research/skills/customer-journey-map,83,⭐⭐⭐⭐ 顶级,电商运营与商品营销,11878,1401,未知
增长广告,1,coreyhaines31/competitor-alternatives,https://github.com/coreyhaines31/marketingskills/tree/main/skills/competitor-alternatives,97,⭐⭐⭐⭐⭐ 夯,网站搜索优化与增长分析,31677,5223,JavaScript
增长广告,2,coreyhaines31/copywriting,https://github.com/coreyhaines31/marketingskills/tree/main/skills/copywriting,90,⭐⭐⭐⭐⭐ 夯,写作辅助与文本优化,31677,5223,JavaScript
增长广告,3,coreyhaines31/page-cro,https://github.com/coreyhaines31/marketingskills/tree/main/skills/page-cro,89,⭐⭐⭐⭐⭐ 夯,搜索优化、增长与广告投放,31677,5223,JavaScript
增长广告,4,coreyhaines31/ai-seo,https://github.com/coreyhaines31/marketingskills/tree/main/skills/ai-seo,87,⭐⭐⭐⭐⭐ 夯,网站搜索优化与增长分析,31677,5223,JavaScript
增长广告,5,coreyhaines31/paid-ads,https://github.com/coreyhaines31/marketingskills/tree/main/skills/paid-ads,87,⭐⭐⭐⭐⭐ 夯,搜索优化、增长与广告投放,31677,5223,JavaScript
社媒运营,1,coreyhaines31/social-content,https://github.com/coreyhaines31/marketingskills/tree/main/skills/social-content,100,⭐⭐⭐⭐⭐ 夯,社交平台内容发布与运营,31677,5223,JavaScript
社媒运营,2,coreyhaines31/onboarding-cro,https://github.com/coreyhaines31/marketingskills/tree/main/skills/onboarding-cro,84,⭐⭐⭐⭐ 顶级,社媒内容运营与发布,31677,5223,JavaScript
社媒运营,3,Xquik-dev/x-twitter-scraper,https://github.com/Xquik-dev/x-twitter-scraper,83,⭐⭐⭐⭐ 顶级,社交平台内容发布与运营,106,9,JavaScript
社媒运营,4,NVIDIA/TensorRT-LLM/ad-accuracy-debug,https://github.com/NVIDIA/skills/tree/main/skills/TensorRT-LLM/ad-accuracy-debug,81,⭐⭐⭐⭐ 顶级,大语言模型训练、推理或评估,921,109,Python
社媒运营,5,NVIDIA/video-search-and-summarization/report,https://github.com/NVIDIA/skills/tree/main/skills/video-search-and-summarization/report,81,⭐⭐⭐⭐ 顶级,视频生成、理解或处理,921,109,Python
邮件营销,1,coreyhaines31/cold-email,https://github.com/coreyhaines31/marketingskills/tree/main/skills/cold-email,90,⭐⭐⭐⭐⭐ 夯,邮件营销与用户触达,31677,5223,JavaScript
邮件营销,2,coreyhaines31/email-sequence,https://github.com/coreyhaines31/marketingskills/tree/main/skills/email-sequence,90,⭐⭐⭐⭐⭐ 夯,邮件营销与用户触达,31677,5223,JavaScript
邮件营销,3,phuryn/outcome-roadmap,https://github.com/phuryn/pm-skills/tree/main/pm-execution/skills/outcome-roadmap,83,⭐⭐⭐⭐ 顶级,邮件营销与用户触达,11878,1401,未知
邮件营销,4,deanpeters/eol-message,https://github.com/deanpeters/Product-Manager-Skills/tree/main/skills/eol-message,80,⭐⭐⭐⭐ 顶级,邮件营销与用户触达,4715,603,Shell
