场景类别,Skill数量,占社区比例(%),推荐数量,代表Skill
编程开发,111,21.02,10,czlonkowski/n8n-code-python
提示工程,53,10.04,8,muratcankoylan/context-fundamentals
界面设计,43,8.14,8,nextlevelbuilder/ui-ux-pro-max-skill
大模型,39,7.39,8,NVIDIA/Model-Optimizer/launching-evals
视频创作,35,6.63,8,NVIDIA/video-search-and-summarization/vios
科研论文,28,5.3,5,deanpeters/proto-persona
法律合同,27,5.11,5,phuryn/privacy-policy
增长广告,26,4.92,5,coreyhaines31/competitor-alternatives
网络安全,23,4.36,5,mukul975/Anthropic-Cybersecurity-Skills
办公文档,19,3.6,5,Skill_Seekers
自动工作流,17,3.22,5,czlonkowski/n8n-workflow-patterns
社媒运营,17,3.22,5,coreyhaines31/social-content
金融分析,17,3.22,5,deanpeters/finance-based-pricing-advisor
电商零售,15,2.84,5,coreyhaines31/product-marketing-context
写作文案,13,2.46,5,NeoLabHQ/write-concisely
邮件营销,13,2.46,5,coreyhaines31/cold-email
教育学习,10,1.89,3,santifer/career-ops
语音音频,7,1.33,3,blader/humanizer
医疗健康,5,0.95,3,zw008/VMware-AIops
图片生成,5,0.95,3,sanjay3290/imagen
其他 / 暂未明确,4,0.76,3,NVIDIA/TileGym/improve-cutile-kernel-perf
数据检索,1,0.19,1,NVIDIA/rag/rag-blueprint
